symbol,sector
TEGA,Unknown
CGCL,Unknown
TRIDENT,Unknown
SPLPETRO,Unknown
FACT,Unknown
NUVAMA,Unknown
BHARTIHEXA,Unknown
KIMS,Unknown
EXIDEIND,Unknown
NMDC,Unknown
LICHSGFIN,Unknown
HSCL,Unknown
SBIN,Unknown
ZYDUSWELL,Unknown
KIRLOSENG,Unknown
TATACONSUM,Unknown
ADANIENT,Unknown
NH,Unknown
COCHINSHIP,Unknown
MCX,Unknown
PIDILITIND,Unknown
BIKAJI,Unknown
APOLLOHOSP,Unknown
ASHOKLEY,Unknown
ITC,Unknown
LTTS,Unknown
MOTHERSON,Unknown
SYRMA,Unknown
RECLTD,Unknown
LINDEINDIA,Unknown
JUBLPHARMA,Unknown
PFC,Unknown
PETRONET,Unknown
VEDL,Unknown
IDBI,Unknown
HINDPETRO,Unknown
DATAPATTNS,Unknown
ABSLAMC,Unknown
MRPL,Unknown
SUNTV,Unknown
ENGINERSIN,Unknown
NCC,Unknown
AIIL,Unknown
MUTHOOTFIN,Unknown
BHEL,Unknown
DEEPAKNTR,Unknown
WIPRO,Unknown
ADANIPOWER,Unknown
J&KBANK,Unknown
CAPLIPOINT,Unknown
MAZDOCK,Unknown
EICHERMOT,Unknown
JSWSTEEL,Unknown
NATIONALUM,Unknown
ABFRL,Unknown
CONCOR,Unknown
NIACL,Unknown
CONCORDBIO,Unknown
LTF,Unknown
SHRIRAMFIN,Unknown
ANANTRAJ,Unknown
GLAXO,Unknown
HONAUT,Unknown
TECHNOE,Unknown
SBICARD,Unknown
MSUMI,Unknown
WHIRLPOOL,Unknown
GLENMARK,Unknown
NHPC,Unknown
BAJAJFINSV,Unknown
OLECTRA,Unknown
KFINTECH,Unknown
LUPIN,Unknown
DEVYANI,Unknown
BANKBARODA,Unknown
3MINDIA,Unknown
BATAINDIA,Unknown
AIAENG,Unknown
SUMICHEM,Unknown
DABUR,Unknown
TATAELXSI,Unknown
KPITTECH,Unknown
KPIL,Unknown
LLOYDSME,Unknown
DOMS,Unknown
PRESTIGE,Unknown
ALKEM,Unknown
POLYCAB,Unknown
HCLTECH,Unknown
TTML,Unknown
TATACOMM,Unknown
POLICYBZR,Unknown
ZENTEC,Unknown
GICRE,Unknown
DALBHARAT,Unknown
ICICIBANK,Unknown
ACC,Unknown
REDINGTON,Unknown
BEL,Unknown
MRF,Unknown
